engine_id,cycle,timestamp,log_text,fault_type,severity
1,3,2024-01-05 07:00:00,system operating within normal parameters.,No Fault,0
1,10,2024-01-05 14:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
1,11,2024-01-05 15:00:00,scheduled maintenance: oil level checked.,No Fault,0
1,12,2024-01-05 16:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
1,14,2024-01-05 18:00:00,Visual inspection passed.,No Fault,0
1,15,2024-01-05 19:00:00,System operating within normal parameters.,No Fault,0
1,16,2024-01-05 20:00:00,cooling system check: ok.,No Fault,0
1,18,2024-01-05 22:00:00,System operating within normal parameters.,No Fault,0
1,24,2024-01-06 04:00:00,cooling system check: ok.,No Fault,0
1,27,2024-01-06 07:00:00,Visual inspection passed.,No Fault,0
1,28,2024-01-06 08:00:00,System operating within normal parameters.,No Fault,0
1,29,2024-01-06 09:00:00,System operating within normal parameters.,No Fault,0
1,35,2024-01-06 15:00:00,Visual inspection passed.,No Fault,0
1,38,2024-01-06 18:00:00,Scheduled maintenance: oil level checked.,No Fault,0
1,42,2024-01-06 22:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
1,45,2024-01-07 01:00:00,"sensors calibrated, readings normal.",No Fault,0
1,47,2024-01-07 03:00:00,cooling system check: ok.,No Fault,0
1,49,2024-01-07 05:00:00,Airflow obstruction in intake.,Fan/Compressor Issue,2
1,52,2024-01-07 08:00:00,"Routine check completed, no issues found.",No Fault,0
1,55,2024-01-07 11:00:00,cooling system check: ok.,No Fault,0
1,56,2024-01-07 12:00:00,"Routine check completed, no issues found.",No Fault,0
1,58,2024-01-07 14:00:00,"Routine check completed, no issues found.",No Fault,0
1,60,2024-01-07 16:00:00,Visual inspection passed.,No Fault,0
1,68,2024-01-08 00:00:00,System operating within normal parameters.,No Fault,0
1,71,2024-01-08 03:00:00,"sensors calibrated, readings normal.",No Fault,0
1,74,2024-01-08 06:00:00,Scheduled maintenance: oil level checked.,No Fault,0
1,76,2024-01-08 08:00:00,"Sensors calibrated, readings normal.",No Fault,0
1,77,2024-01-08 09:00:00,"Sensors calibrated, readings normal.",No Fault,0
1,78,2024-01-08 10:00:00,System operating within normal parameters.,No Fault,0
1,80,2024-01-08 12:00:00,cooling system check: ok.,No Fault,0
1,85,2024-01-08 17:00:00,scheduled maintenance: oil level checked.,No Fault,0
1,89,2024-01-08 21:00:00,Visual inspection passed.,No Fault,0
1,94,2024-01-09 02:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
1,96,2024-01-09 04:00:00,Scheduled maintenance: oil level checked.,No Fault,0
1,97,2024-01-09 05:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
1,98,2024-01-09 06:00:00,"Sensors calibrated, readings normal.",No Fault,0
1,101,2024-01-09 09:00:00,"sensors calibrated, readings normal.",No Fault,0
1,104,2024-01-09 12:00:00,Cooling system check: OK.,No Fault,0
1,109,2024-01-09 17:00:00,System operating within normal parameters.,No Fault,0
1,113,2024-01-09 21:00:00,"sensors calibrated, readings normal.",No Fault,0
1,116,2024-01-10 00:00:00,"Sensors calibrated, readings normal.",No Fault,0
1,119,2024-01-10 03:00:00,Visual inspection passed.,No Fault,0
1,120,2024-01-10 04:00:00,Heat exchanger efficiency low.,Overheating,3
1,121,2024-01-10 05:00:00,Bearing temperature exceeding threshold.,Bearing Issue,2
1,128,2024-01-10 12:00:00,Compressor efficiency dropped below 85%.,Fan/Compressor Issue,2
1,129,2024-01-10 13:00:00,Cooling system check: OK.,No Fault,0
1,134,2024-01-10 18:00:00,overheating warning in high pressure turbine.,Overheating,3
1,138,2024-01-10 22:00:00,Cooling system check: OK.,No Fault,0
1,144,2024-01-11 04:00:00,"Coolant pressure drop, potential leak.",Overheating,3
1,148,2024-01-11 08:00:00,Fan blade vibration high.,Fan/Compressor Issue,2
1,149,2024-01-11 09:00:00,"lubrication low, potential bearing wear.",Bearing Issue,2
1,150,2024-01-11 10:00:00,compressor efficiency dropped below 85%.,Fan/Compressor Issue,2
2,1,2024-01-09 09:00:00,System operating within normal parameters.,No Fault,0
2,11,2024-01-09 19:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
2,18,2024-01-10 02:00:00,"Coolant pressure drop, potential leak.",Overheating,3
2,23,2024-01-10 07:00:00,visual inspection passed.,No Fault,0
2,31,2024-01-10 15:00:00,Cooling system check: OK.,No Fault,0
2,32,2024-01-10 16:00:00,"Routine check completed, no issues found.",No Fault,0
2,41,2024-01-11 01:00:00,Cooling system check: OK.,No Fault,0
2,42,2024-01-11 02:00:00,Airflow obstruction in intake.,Fan/Compressor Issue,2
2,50,2024-01-11 10:00:00,cooling system check: ok.,No Fault,0
2,52,2024-01-11 12:00:00,visual inspection passed.,No Fault,0
2,55,2024-01-11 15:00:00,Cooling system check: OK.,No Fault,0
2,70,2024-01-12 06:00:00,System operating within normal parameters.,No Fault,0
2,74,2024-01-12 10:00:00,High vibration detected in main bearing.,Bearing Issue,2
2,75,2024-01-12 11:00:00,system operating within normal parameters.,No Fault,0
2,78,2024-01-12 14:00:00,System operating within normal parameters.,No Fault,0
2,79,2024-01-12 15:00:00,"Coolant pressure drop, potential leak.",Overheating,3
2,80,2024-01-12 16:00:00,"Routine check completed, no issues found.",No Fault,0
2,91,2024-01-13 03:00:00,visual inspection passed.,No Fault,0
2,92,2024-01-13 04:00:00,Visual inspection passed.,No Fault,0
2,93,2024-01-13 05:00:00,high vibration detected in main bearing.,Bearing Issue,2
2,100,2024-01-13 12:00:00,Cooling system check: OK.,No Fault,0
2,104,2024-01-13 16:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
2,105,2024-01-13 17:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
2,120,2024-01-14 08:00:00,"Routine check completed, no issues found.",No Fault,0
2,125,2024-01-14 13:00:00,visual inspection passed.,No Fault,0
2,127,2024-01-14 15:00:00,System operating within normal parameters.,No Fault,0
2,130,2024-01-14 18:00:00,"routine check completed, no issues found.",No Fault,0
2,131,2024-01-14 19:00:00,"Lubrication low, potential bearing wear.",Bearing Issue,2
2,132,2024-01-14 20:00:00,"routine check completed, no issues found.",No Fault,0
2,135,2024-01-14 23:00:00,Cooling system check: OK.,No Fault,0
2,139,2024-01-15 03:00:00,Compressor stall detected.,Fan/Compressor Issue,2
2,141,2024-01-15 05:00:00,high vibration detected in main bearing.,Bearing Issue,2
2,143,2024-01-15 07:00:00,scheduled maintenance: oil level checked.,No Fault,0
2,146,2024-01-15 10:00:00,"Routine check completed, no issues found.",No Fault,0
2,147,2024-01-15 11:00:00,Scheduled maintenance: oil level checked.,No Fault,0
2,153,2024-01-15 17:00:00,Visual inspection passed.,No Fault,0
2,166,2024-01-16 06:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
2,167,2024-01-16 07:00:00,Scheduled maintenance: oil level checked.,No Fault,0
2,169,2024-01-16 09:00:00,"Sensors calibrated, readings normal.",No Fault,0
2,171,2024-01-16 11:00:00,airflow obstruction in intake.,Fan/Compressor Issue,2
2,177,2024-01-16 17:00:00,"Abnormal sound from shaft, suspect bearing damage.",Bearing Issue,2
2,178,2024-01-16 18:00:00,Visual inspection passed.,No Fault,0
2,183,2024-01-16 23:00:00,Compressor stall detected.,Fan/Compressor Issue,2
2,185,2024-01-17 01:00:00,cooling system check: ok.,No Fault,0
2,186,2024-01-17 02:00:00,Visual inspection passed.,No Fault,0
2,193,2024-01-17 09:00:00,Compressor stall detected.,Fan/Compressor Issue,2
2,198,2024-01-17 14:00:00,"Abnormal sound from shaft, suspect bearing damage.",Bearing Issue,2
2,200,2024-01-17 16:00:00,overheating warning in high pressure turbine.,Overheating,3
2,201,2024-01-17 17:00:00,Vibration analysis indicates inner race fault.,Bearing Issue,2
2,202,2024-01-17 18:00:00,Bearing temperature exceeding threshold.,Bearing Issue,2
2,213,2024-01-18 05:00:00,"Routine check completed, no issues found.",No Fault,0
2,217,2024-01-18 09:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
2,218,2024-01-18 10:00:00,Compressor efficiency dropped below 85%.,Fan/Compressor Issue,2
2,229,2024-01-18 21:00:00,Vibration analysis indicates inner race fault.,Bearing Issue,2
3,5,2024-01-13 17:00:00,Visual inspection passed.,No Fault,0
3,7,2024-01-13 19:00:00,"Routine check completed, no issues found.",No Fault,0
3,11,2024-01-13 23:00:00,scheduled maintenance: oil level checked.,No Fault,0
3,12,2024-01-14 00:00:00,Surge detected in low pressure compressor.,Fan/Compressor Issue,2
3,20,2024-01-14 08:00:00,"routine check completed, no issues found.",No Fault,0
3,25,2024-01-14 13:00:00,System operating within normal parameters.,No Fault,0
3,30,2024-01-14 18:00:00,airflow obstruction in intake.,Fan/Compressor Issue,2
3,33,2024-01-14 21:00:00,scheduled maintenance: oil level checked.,No Fault,0
3,50,2024-01-15 14:00:00,"Sensors calibrated, readings normal.",No Fault,0
3,52,2024-01-15 16:00:00,"Routine check completed, no issues found.",No Fault,0
3,59,2024-01-15 23:00:00,Visual inspection passed.,No Fault,0
3,64,2024-01-16 04:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
3,73,2024-01-16 13:00:00,"Sensors calibrated, readings normal.",No Fault,0
3,74,2024-01-16 14:00:00,System operating within normal parameters.,No Fault,0
3,80,2024-01-16 20:00:00,Scheduled maintenance: oil level checked.,No Fault,0
3,83,2024-01-16 23:00:00,Scheduled maintenance: oil level checked.,No Fault,0
3,85,2024-01-17 01:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
3,89,2024-01-17 05:00:00,System operating within normal parameters.,No Fault,0
3,90,2024-01-17 06:00:00,Scheduled maintenance: oil level checked.,No Fault,0
3,117,2024-01-18 09:00:00,System operating within normal parameters.,No Fault,0
3,118,2024-01-18 10:00:00,Visual inspection passed.,No Fault,0
3,123,2024-01-18 15:00:00,visual inspection passed.,No Fault,0
3,127,2024-01-18 19:00:00,scheduled maintenance: oil level checked.,No Fault,0
3,132,2024-01-19 00:00:00,Scheduled maintenance: oil level checked.,No Fault,0
3,133,2024-01-19 01:00:00,"Sensors calibrated, readings normal.",No Fault,0
3,138,2024-01-19 06:00:00,system operating within normal parameters.,No Fault,0
3,143,2024-01-19 11:00:00,Visual inspection passed.,No Fault,0
3,144,2024-01-19 12:00:00,High vibration detected in main bearing.,Bearing Issue,2
3,148,2024-01-19 16:00:00,"Sensors calibrated, readings normal.",No Fault,0
3,156,2024-01-20 00:00:00,system operating within normal parameters.,No Fault,0
3,161,2024-01-20 05:00:00,Airflow obstruction in intake.,Fan/Compressor Issue,2
3,164,2024-01-20 08:00:00,Visual inspection passed.,No Fault,0
3,166,2024-01-20 10:00:00,fan blade vibration high.,Fan/Compressor Issue,2
3,169,2024-01-20 13:00:00,System operating within normal parameters.,No Fault,0
3,180,2024-01-21 00:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
3,187,2024-01-21 07:00:00,"Sensors calibrated, readings normal.",No Fault,0
3,191,2024-01-21 11:00:00,Compressor efficiency dropped below 85%.,Fan/Compressor Issue,2
3,194,2024-01-21 14:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
3,196,2024-01-21 16:00:00,Visual inspection passed.,No Fault,0
3,201,2024-01-21 21:00:00,"Lubrication low, potential bearing wear.",Bearing Issue,2
3,217,2024-01-22 13:00:00,"Thermal runaway risk, shutdown initiated for cooling.",Overheating,3
3,222,2024-01-22 18:00:00,surge detected in low pressure compressor.,Fan/Compressor Issue,2
3,229,2024-01-23 01:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
3,236,2024-01-23 08:00:00,overheating warning in high pressure turbine.,Overheating,3
3,239,2024-01-23 11:00:00,Cooling system check: OK.,No Fault,0
3,245,2024-01-23 17:00:00,Fan blade vibration high.,Fan/Compressor Issue,2
3,248,2024-01-23 20:00:00,"Routine check completed, no issues found.",No Fault,0
3,249,2024-01-23 21:00:00,Audible noise reported from bearing housing.,Bearing Issue,2
3,250,2024-01-23 22:00:00,Temperature sensor T2 reading critical high.,Overheating,3
4,5,2024-01-17 21:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
4,25,2024-01-18 17:00:00,"sensors calibrated, readings normal.",No Fault,0
4,31,2024-01-18 23:00:00,System operating within normal parameters.,No Fault,0
4,41,2024-01-19 09:00:00,cooling system check: ok.,No Fault,0
4,48,2024-01-19 16:00:00,"Routine check completed, no issues found.",No Fault,0
4,52,2024-01-19 20:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
4,67,2024-01-20 11:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
4,71,2024-01-20 15:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
4,73,2024-01-20 17:00:00,"Routine check completed, no issues found.",No Fault,0
4,81,2024-01-21 01:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
4,82,2024-01-21 02:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
4,100,2024-01-21 20:00:00,scheduled maintenance: oil level checked.,No Fault,0
4,103,2024-01-21 23:00:00,scheduled maintenance: oil level checked.,No Fault,0
4,111,2024-01-22 07:00:00,Scheduled maintenance: oil level checked.,No Fault,0
4,113,2024-01-22 09:00:00,Visual inspection passed.,No Fault,0
4,119,2024-01-22 15:00:00,scheduled maintenance: oil level checked.,No Fault,0
4,130,2024-01-23 02:00:00,heat exchanger efficiency low.,Overheating,3
4,139,2024-01-23 11:00:00,Scheduled maintenance: oil level checked.,No Fault,0
4,143,2024-01-23 15:00:00,Visual inspection passed.,No Fault,0
4,145,2024-01-23 17:00:00,Audible noise reported from bearing housing.,Bearing Issue,2
4,157,2024-01-24 05:00:00,compressor efficiency dropped below 85%.,Fan/Compressor Issue,2
4,162,2024-01-24 10:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
4,187,2024-01-25 11:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
4,188,2024-01-25 12:00:00,"abnormal sound from shaft, suspect bearing damage.",Bearing Issue,2
4,200,2024-01-26 00:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
4,201,2024-01-26 01:00:00,Exhaust gas temperature warning.,Overheating,3
4,205,2024-01-26 05:00:00,"Lubrication low, potential bearing wear.",Bearing Issue,2
4,207,2024-01-26 07:00:00,"Routine check completed, no issues found.",No Fault,0
4,218,2024-01-26 18:00:00,"Coolant pressure drop, potential leak.",Overheating,3
4,236,2024-01-27 12:00:00,Bearing temperature exceeding threshold.,Bearing Issue,2
4,248,2024-01-28 00:00:00,Exhaust gas temperature warning.,Overheating,3
4,252,2024-01-28 04:00:00,Airflow obstruction in intake.,Fan/Compressor Issue,2
4,255,2024-01-28 07:00:00,vibration analysis indicates inner race fault.,Bearing Issue,2
4,265,2024-01-28 17:00:00,Fan balance check failed.,Fan/Compressor Issue,2
5,2,2024-01-21 22:00:00,Cooling system check: OK.,No Fault,0
5,6,2024-01-22 02:00:00,"routine check completed, no issues found.",No Fault,0
5,7,2024-01-22 03:00:00,"Sensors calibrated, readings normal.",No Fault,0
5,12,2024-01-22 08:00:00,Cooling system check: OK.,No Fault,0
5,14,2024-01-22 10:00:00,System operating within normal parameters.,No Fault,0
5,16,2024-01-22 12:00:00,visual inspection passed.,No Fault,0
5,30,2024-01-23 02:00:00,system operating within normal parameters.,No Fault,0
5,32,2024-01-23 04:00:00,"Sensors calibrated, readings normal.",No Fault,0
5,42,2024-01-23 14:00:00,Cooling system check: OK.,No Fault,0
5,48,2024-01-23 20:00:00,"routine check completed, no issues found.",No Fault,0
5,50,2024-01-23 22:00:00,"abnormal sound from shaft, suspect bearing damage.",Bearing Issue,2
5,56,2024-01-24 04:00:00,Scheduled maintenance: oil level checked.,No Fault,0
5,72,2024-01-24 20:00:00,"Sensors calibrated, readings normal.",No Fault,0
5,83,2024-01-25 07:00:00,"sensors calibrated, readings normal.",No Fault,0
5,86,2024-01-25 10:00:00,system operating within normal parameters.,No Fault,0
5,90,2024-01-25 14:00:00,"Routine check completed, no issues found.",No Fault,0
5,96,2024-01-25 20:00:00,"abnormal sound from shaft, suspect bearing damage.",Bearing Issue,2
5,97,2024-01-25 21:00:00,Cooling system check: OK.,No Fault,0
5,102,2024-01-26 02:00:00,Scheduled maintenance: oil level checked.,No Fault,0
5,103,2024-01-26 03:00:00,Visual inspection passed.,No Fault,0
5,104,2024-01-26 04:00:00,Scheduled maintenance: oil level checked.,No Fault,0
5,111,2024-01-26 11:00:00,Scheduled maintenance: oil level checked.,No Fault,0
5,113,2024-01-26 13:00:00,Fan balance check failed.,Fan/Compressor Issue,2
5,115,2024-01-26 15:00:00,"Sensors calibrated, readings normal.",No Fault,0
5,121,2024-01-26 21:00:00,Visual inspection passed.,No Fault,0
5,122,2024-01-26 22:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
5,124,2024-01-27 00:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
5,128,2024-01-27 04:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
5,131,2024-01-27 07:00:00,system operating within normal parameters.,No Fault,0
5,132,2024-01-27 08:00:00,temperature sensor t2 reading critical high.,Overheating,3
5,137,2024-01-27 13:00:00,Cooling system check: OK.,No Fault,0
5,145,2024-01-27 21:00:00,overheating warning in high pressure turbine.,Overheating,3
5,150,2024-01-28 02:00:00,Vibration analysis indicates inner race fault.,Bearing Issue,2
5,151,2024-01-28 03:00:00,System operating within normal parameters.,No Fault,0
5,153,2024-01-28 05:00:00,heat exchanger efficiency low.,Overheating,3
5,155,2024-01-28 07:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
5,156,2024-01-28 08:00:00,System operating within normal parameters.,No Fault,0
5,159,2024-01-28 11:00:00,"routine check completed, no issues found.",No Fault,0
5,164,2024-01-28 16:00:00,"sensors calibrated, readings normal.",No Fault,0
5,169,2024-01-28 21:00:00,Cooling system check: OK.,No Fault,0
5,175,2024-01-29 03:00:00,"Routine check completed, no issues found.",No Fault,0
5,186,2024-01-29 14:00:00,Visual inspection passed.,No Fault,0
5,188,2024-01-29 16:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
5,192,2024-01-29 20:00:00,Exhaust gas temperature warning.,Overheating,3
5,193,2024-01-29 21:00:00,Cooling system check: OK.,No Fault,0
5,195,2024-01-29 23:00:00,Vibration analysis indicates inner race fault.,Bearing Issue,2
5,196,2024-01-30 00:00:00,"Coolant pressure drop, potential leak.",Overheating,3
5,197,2024-01-30 01:00:00,Fan blade vibration high.,Fan/Compressor Issue,2
5,198,2024-01-30 02:00:00,Fan blade vibration high.,Fan/Compressor Issue,2
5,200,2024-01-30 04:00:00,Overheating warning in high pressure turbine.,Overheating,3
5,201,2024-01-30 05:00:00,overheating warning in high pressure turbine.,Overheating,3
5,210,2024-01-30 14:00:00,"Coolant pressure drop, potential leak.",Overheating,3
5,213,2024-01-30 17:00:00,Overheating warning in high pressure turbine.,Overheating,3
6,4,2024-01-26 04:00:00,Cooling system check: OK.,No Fault,0
6,12,2024-01-26 12:00:00,Visual inspection passed.,No Fault,0
6,20,2024-01-26 20:00:00,"Sensors calibrated, readings normal.",No Fault,0
6,24,2024-01-27 00:00:00,Visual inspection passed.,No Fault,0
6,25,2024-01-27 01:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
6,32,2024-01-27 08:00:00,Cooling system check: OK.,No Fault,0
6,33,2024-01-27 09:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
6,36,2024-01-27 12:00:00,Cooling system check: OK.,No Fault,0
6,37,2024-01-27 13:00:00,cooling system check: ok.,No Fault,0
6,39,2024-01-27 15:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
6,50,2024-01-28 02:00:00,scheduled maintenance: oil level checked.,No Fault,0
6,51,2024-01-28 03:00:00,"lubrication low, potential bearing wear.",Bearing Issue,2
6,56,2024-01-28 08:00:00,"Routine check completed, no issues found.",No Fault,0
6,57,2024-01-28 09:00:00,fan blade vibration high.,Fan/Compressor Issue,2
6,58,2024-01-28 10:00:00,"sensors calibrated, readings normal.",No Fault,0
6,60,2024-01-28 12:00:00,"routine check completed, no issues found.",No Fault,0
6,72,2024-01-29 00:00:00,System operating within normal parameters.,No Fault,0
6,73,2024-01-29 01:00:00,cooling system check: ok.,No Fault,0
6,74,2024-01-29 02:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
6,76,2024-01-29 04:00:00,"sensors calibrated, readings normal.",No Fault,0
6,78,2024-01-29 06:00:00,Temperature sensor T2 reading critical high.,Overheating,3
6,80,2024-01-29 08:00:00,Cooling system check: OK.,No Fault,0
6,88,2024-01-29 16:00:00,Scheduled maintenance: oil level checked.,No Fault,0
6,93,2024-01-29 21:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
6,96,2024-01-30 00:00:00,Scheduled maintenance: oil level checked.,No Fault,0
6,105,2024-01-30 09:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
6,106,2024-01-30 10:00:00,High vibration detected in main bearing.,Bearing Issue,2
6,113,2024-01-30 17:00:00,"Sensors calibrated, readings normal.",No Fault,0
6,116,2024-01-30 20:00:00,"routine check completed, no issues found.",No Fault,0
6,118,2024-01-30 22:00:00,"Routine check completed, no issues found.",No Fault,0
6,119,2024-01-30 23:00:00,"Sensors calibrated, readings normal.",No Fault,0
6,121,2024-01-31 01:00:00,System operating within normal parameters.,No Fault,0
6,126,2024-01-31 06:00:00,High vibration detected in main bearing.,Bearing Issue,2
6,131,2024-01-31 11:00:00,"Routine check completed, no issues found.",No Fault,0
6,137,2024-01-31 17:00:00,high vibration detected in main bearing.,Bearing Issue,2
6,143,2024-01-31 23:00:00,"Sensors calibrated, readings normal.",No Fault,0
6,147,2024-02-01 03:00:00,Scheduled maintenance: oil level checked.,No Fault,0
6,156,2024-02-01 12:00:00,compressor efficiency dropped below 85%.,Fan/Compressor Issue,2
6,165,2024-02-01 21:00:00,airflow obstruction in intake.,Fan/Compressor Issue,2
6,169,2024-02-02 01:00:00,Exhaust gas temperature warning.,Overheating,3
6,173,2024-02-02 05:00:00,Cooling system check: OK.,No Fault,0
6,175,2024-02-02 07:00:00,"abnormal sound from shaft, suspect bearing damage.",Bearing Issue,2
7,4,2024-01-30 08:00:00,cooling system check: ok.,No Fault,0
7,5,2024-01-30 09:00:00,"sensors calibrated, readings normal.",No Fault,0
7,6,2024-01-30 10:00:00,System operating within normal parameters.,No Fault,0
7,7,2024-01-30 11:00:00,system operating within normal parameters.,No Fault,0
7,8,2024-01-30 12:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
7,10,2024-01-30 14:00:00,High vibration detected in main bearing.,Bearing Issue,2
7,17,2024-01-30 21:00:00,"Routine check completed, no issues found.",No Fault,0
7,20,2024-01-31 00:00:00,scheduled maintenance: oil level checked.,No Fault,0
7,21,2024-01-31 01:00:00,cooling system check: ok.,No Fault,0
7,34,2024-01-31 14:00:00,"Sensors calibrated, readings normal.",No Fault,0
7,37,2024-01-31 17:00:00,"Routine check completed, no issues found.",No Fault,0
7,38,2024-01-31 18:00:00,System operating within normal parameters.,No Fault,0
7,41,2024-01-31 21:00:00,"Routine check completed, no issues found.",No Fault,0
7,44,2024-02-01 00:00:00,"Routine check completed, no issues found.",No Fault,0
7,45,2024-02-01 01:00:00,Scheduled maintenance: oil level checked.,No Fault,0
7,46,2024-02-01 02:00:00,System operating within normal parameters.,No Fault,0
7,48,2024-02-01 04:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
7,53,2024-02-01 09:00:00,system operating within normal parameters.,No Fault,0
7,54,2024-02-01 10:00:00,Scheduled maintenance: oil level checked.,No Fault,0
7,58,2024-02-01 14:00:00,Visual inspection passed.,No Fault,0
7,61,2024-02-01 17:00:00,visual inspection passed.,No Fault,0
7,63,2024-02-01 19:00:00,"Routine check completed, no issues found.",No Fault,0
7,67,2024-02-01 23:00:00,Scheduled maintenance: oil level checked.,No Fault,0
7,73,2024-02-02 05:00:00,Visual inspection passed.,No Fault,0
7,78,2024-02-02 10:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
7,82,2024-02-02 14:00:00,Scheduled maintenance: oil level checked.,No Fault,0
7,84,2024-02-02 16:00:00,Scheduled maintenance: oil level checked.,No Fault,0
7,85,2024-02-02 17:00:00,Temperature sensor T2 reading critical high.,Overheating,3
7,89,2024-02-02 21:00:00,"Routine check completed, no issues found.",No Fault,0
7,90,2024-02-02 22:00:00,"Routine check completed, no issues found.",No Fault,0
7,91,2024-02-02 23:00:00,visual inspection passed.,No Fault,0
7,92,2024-02-03 00:00:00,Scheduled maintenance: oil level checked.,No Fault,0
7,94,2024-02-03 02:00:00,Airflow obstruction in intake.,Fan/Compressor Issue,2
7,98,2024-02-03 06:00:00,Scheduled maintenance: oil level checked.,No Fault,0
7,100,2024-02-03 08:00:00,"Lubrication low, potential bearing wear.",Bearing Issue,2
7,102,2024-02-03 10:00:00,"Operator log: shift ended, machine running smoothly.",No Fault,0
7,108,2024-02-03 16:00:00,bearing temperature exceeding threshold.,Bearing Issue,2
7,111,2024-02-03 19:00:00,Scheduled maintenance: oil level checked.,No Fault,0
7,116,2024-02-04 00:00:00,Audible noise reported from bearing housing.,Bearing Issue,2
7,120,2024-02-04 04:00:00,Visual inspection passed.,No Fault,0
7,121,2024-02-04 05:00:00,Visual inspection passed.,No Fault,0
7,124,2024-02-04 08:00:00,Bearing temperature exceeding threshold.,Bearing Issue,2
7,126,2024-02-04 10:00:00,system operating within normal parameters.,No Fault,0
7,128,2024-02-04 12:00:00,Cooling system check: OK.,No Fault,0
7,133,2024-02-04 17:00:00,Overheating warning in high pressure turbine.,Overheating,3
7,136,2024-02-04 20:00:00,"routine check completed, no issues found.",No Fault,0
7,138,2024-02-04 22:00:00,Overheating warning in high pressure turbine.,Overheating,3
7,140,2024-02-05 00:00:00,Cooling system check: OK.,No Fault,0
7,141,2024-02-05 01:00:00,Fan blade vibration high.,Fan/Compressor Issue,2
7,146,2024-02-05 06:00:00,Fan blade vibration high.,Fan/Compressor Issue,2
7,147,2024-02-05 07:00:00,"Abnormal sound from shaft, suspect bearing damage.",Bearing Issue,2
7,150,2024-02-05 10:00:00,high vibration detected in main bearing.,Bearing Issue,2
7,153,2024-02-05 13:00:00,fan blade vibration high.,Fan/Compressor Issue,2
7,158,2024-02-05 18:00:00,Overheating warning in high pressure turbine.,Overheating,3
8,3,2024-02-03 11:00:00,airflow obstruction in intake.,Fan/Compressor Issue,2
8,37,2024-02-04 21:00:00,"Sensors calibrated, readings normal.",No Fault,0
8,48,2024-02-05 08:00:00,System operating within normal parameters.,No Fault,0
8,53,2024-02-05 13:00:00,Scheduled maintenance: oil level checked.,No Fault,0
8,63,2024-02-05 23:00:00,System operating within normal parameters.,No Fault,0
8,67,2024-02-06 03:00:00,Visual inspection passed.,No Fault,0
8,82,2024-02-06 18:00:00,Cooling system check: OK.,No Fault,0
8,83,2024-02-06 19:00:00,Cooling system check: OK.,No Fault,0
8,85,2024-02-06 21:00:00,"Sensors calibrated, readings normal.",No Fault,0
8,89,2024-02-07 01:00:00,"Routine check completed, no issues found.",No Fault,0
8,94,2024-02-07 06:00:00,Visual inspection passed.,No Fault,0
8,102,2024-02-07 14:00:00,"operator log: shift ended, machine running smoothly.",No Fault,0
8,111,2024-02-07 23:00:00,"Sensors calibrated, readings normal.",No Fault,0
8,113,2024-02-08 01:00:00,"routine check completed, no issues found.",No Fault,0
8,141,2024-02-09 05:00:00,"Sensors calibrated, readings normal.",No Fault,0
8,143,2024-02-09 07:00:00,Temperature sensor T2 reading critical high.,Overheating,3
8,144,2024-02-09 08:00:00,system operating within normal parameters.,No Fault,0
